,행정구역,sig_cd,진짜 구급차 출동시간 표준화,기대수명 표준화,병원수 표준화,보건시설 표준화,구급차 표준화,의사수 표준화,지방소멸지수 표준화,지역별중증사망수치,정규화사망수치,emci
165,광주광역시 북구,29170,7.913792032,9.576923088,15.5,0.0,5.538461536,0.756218904,16.372796864,114.1,0.874032882,55.658192424
166,서울특별시 광진구,11215,8.0,16.192307688,2.5,0.0,2.461538464,1.114427864,25.565373216,107.6,0.889748549,55.833647232000004
167,광주광역시 서구,29140,8.0,12.153846144,13.0,0.0,3.692307696,1.074626864,17.968802944,97.10000000000001,0.915135397,55.889583648
168,서울특별시 강동구,11740,8.0,15.923076911999999,8.5,0.0,3.692307696,1.512437808,18.272266176,84.19999999999999,0.946324952,55.900088592
169,경기도 부천시,41190,8.0,13.807692312,10.0,0.0,5.538461536,0.835820896,17.96866592,102.8,0.901353965,56.150640664
170,서울특별시 강서구,11500,8.0,14.192307696,10.0,0.0,2.461538464,0.756218904,21.878462496,102.2,0.902804642,57.288527560000006
171,대전광역시 서구,30170,7.726825376,12.961538471999999,12.5,0.0,2.461538464,1.432835824,21.88369984,74.2,0.970502901,58.966437975999995
172,서울특별시 관악구,11620,8.0,14.807692295999999,5.5,0.0,3.692307696,0.477611944,27.489987712,119.4,0.861218569,59.967599648000004
173,서울특별시 마포구,11440,8.0,17.269230768,2.0,0.0,4.307692304,0.756218904,28.257479776,90.6,0.930851064,60.590621752000004
174,서울특별시 영등포구,11560,8.0,17.500000008,7.5,0.0,3.692307696,1.6318408,24.060350304,121.2,0.856866538,62.384498808000004
175,광주광역시 광산구,29200,7.751342328,8.615384616,12.0,0.0,5.538461536,0.676616912,28.166175904,79.1,0.958655706,62.747981296
176,대구광역시 수성구,27290,7.995415528,15.84615384,20.0,0.0,3.07692308,0.995024872,15.017574944,111.89999999999999,0.879352031,62.931092264
177,서울특별시 서초구,11650,8.0,24.0,6.5,0.0,1.230769232,2.666666664,20.550177024,70.50000000000001,0.979448743,62.94761292
178,대전광역시 유성구,30200,7.898045368,14.76923076,7.0,0.0,3.07692308,0.597014928,30.401035168,62.00000000000001,1.0,63.742249304
179,경기도 화성시,41590,4.05615976,13.000000008,8.0,0.0,8.0,0.358208952,32.0,75.89999999999999,0.96639265,65.41436872
180,서울특별시 송파구,11710,8.0,19.769230776,11.5,0.0,4.307692304,1.791044776,22.197423616,77.49999999999999,0.962524178,67.565391472
181,서울특별시 강남구,11680,8.0,22.961538456,18.0,0.0,4.92307692,4.8159204,21.300221856,70.89999999999999,0.978481625,80.000757632
